Eleicao;Município;Candidato - nome completo;Candidato - nome de urna;Gênero;Partido; Coligação;Votos;Percentual;Situação
Eleições Municipais 2020;MURIAÉ;JOSÉ NICODEMOS COUTO;PROFESSOR NICODEMOS COUTO;MASCULINO;PSD;PSD;183;0,32;Suplente
Eleições Municipais 2020;MURIAÉ;GILSON JUSTINIANO DOS SANTOS JUNIOR;GILSON JUNIOR DA R¡DIO MURIA…;MASCULINO;PSL;PSL;181;0,32;Suplente
Eleições Municipais 2020;MURIAÉ;PAULO HENRIQUE CIRELLI LOPES;PAULO LOPES;MASCULINO;PP;PP;178;0,31;Suplente
Eleições Municipais 2020;MURIAÉ;JESIEL JESUS DE PAULA;JESIEL BARBEIRO;MASCULINO;MDB;MDB;171;0,3;Suplente
Eleições Municipais 2020;MURIAÉ;FRANKLIN LUIZ DE MATTOS;FRANKLINHO;MASCULINO;PSL;PSL;162;0,29;Suplente
Eleições Municipais 2020;MURIAÉ;RAFAEL AGOSTINI DA MATA PEREIRA;RAFAEL PEREIRA;MASCULINO;MDB;MDB;161;0,28;Suplente
Eleições Municipais 2020;MURIAÉ;CLEUZA NORENY BATISTA ZEM;CLEUZA DO GASPAR;FEMININO;PDT;PDT;156;0,28;Suplente
Eleições Municipais 2020;MURIAÉ;WALTER GUILHERME SILVA;MAM√O DO LAVADOR;MASCULINO;PSL;PSL;153;0,27;Suplente
Eleições Municipais 2020;MURIAÉ;DIONISIO PARADELAS TAVARES JUNIOR;TAVARES J⁄NIOR;MASCULINO;CIDADANIA;CIDADANIA;151;0,27;Suplente
Eleições Municipais 2020;MURIAÉ;ANDREIA DE ALMEIDA SILVA;ANDREIA DEDEIA;FEMININO;PSL;PSL;151;0,27;Suplente
Eleições Municipais 2020;MURIAÉ;ROBERTO ALVES MOREIRA;ROBERTO SERRALHEIRO;MASCULINO;PP;PP;151;0,27;Suplente
Eleições Municipais 2020;MURIAÉ;MARTA HELENA DE OLIVEIRA;MARTA OLIVEIRA;FEMININO;CIDADANIA;CIDADANIA;151;0,27;Suplente
Eleições Municipais 2020;MURIAÉ;EDIVAN MOREIRA AREDES;PROFESSOR EDIVAN;MASCULINO;PP;PP;146;0,26;Suplente
Eleições Municipais 2020;MURIAÉ;GILMAR CARDOSO DE MELLO;GILMAR CARDOSO;MASCULINO;PL;PL;145;0,26;Suplente
Eleições Municipais 2020;MURIAÉ;CLAUDIO DE ASSIS OLIVEIRA;CLAUDINHO SOFOC”;MASCULINO;AVANTE;AVANTE;143;0,25;Não eleito
Eleições Municipais 2020;MURIAÉ;SEBASTI√O FURTADO J⁄NIOR;T√O P… NO CH√O;MASCULINO;MDB;MDB;140;0,25;Suplente
Eleições Municipais 2020;MURIAÉ;PAULO ALEXANDRE DO CARMO SESSEFREDO;PAULO SESSEFREDO;MASCULINO;PTB;PTB;140;0,25;Suplente
Eleições Municipais 2020;MURIAÉ;MARCELO DOMINGOS DOS SANTOS;MARCEL√O CARROCERIA;MASCULINO;MDB;MDB;137;0,24;Suplente
Eleições Municipais 2020;MURIAÉ;AGDA L⁄CIA GUAR«ONI DE ALMEIDA SILVA;AGDA GUAR«ONI;FEMININO;PTB;PTB;135;0,24;Suplente
Eleições Municipais 2020;MURIAÉ;CARLOS ROBERTO MARTINS NUNES;CARL√O DO TAIP¡;MASCULINO;MDB;MDB;134;0,24;Suplente
Eleições Municipais 2020;MURIAÉ;IVAN DO NASCIMENTO SANTANA;IVAN SANTANA;MASCULINO;PTB;PTB;133;0,23;Suplente
Eleições Municipais 2020;MURIAÉ;GIL MAXIMINO;GIL MAXI;MASCULINO;PSB;PSB;129;0,23;Suplente
Eleições Municipais 2020;MURIAÉ;JORGE EVANGELISTA DA FONSECA;JORGINHO MEC¬NICO;MASCULINO;PSD;PSD;129;0,23;Suplente
Eleições Municipais 2020;MURIAÉ;IVAN EVANGELISTA MADURO;IVAN MADURO;MASCULINO;PT;PT;122;0,22;Não eleito
Eleições Municipais 2020;MURIAÉ;ERICK FLAVIO GON«ALVES BARBOSA;ERICK BARBOSA;MASCULINO;PP;PP;122;0,22;Suplente
Eleições Municipais 2020;MURIAÉ;JOSE GONCALVES DE AMARAL;BAIANO DO CAMEL‘;MASCULINO;PTB;PTB;122;0,22;Suplente
Eleições Municipais 2020;MURIAÉ;AIRTON MACHADO DA SILVEIRA;AIRTON M√OZINHA;MASCULINO;PDT;PDT;121;0,21;Suplente
Eleições Municipais 2020;MURIAÉ;APARECIDA PAULA DE AGUIAR ALMEIDA;APARECIDA PAULA DE AGUIAR;FEMININO;PP;PP;120;0,21;Suplente
Eleições Municipais 2020;MURIAÉ;JOSE ALBERTO GUEDES TEIXEIRA SALUM;JOSE ALBERTO;MASCULINO;PSD;PSD;119;0,21;Suplente
Eleições Municipais 2020;MURIAÉ;LUIZ DA SILVA RIBEIRO;LUIZ DO MARAMBAIA;MASCULINO;PL;PL;117;0,21;Suplente
Eleições Municipais 2020;MURIAÉ;JOS… MARCELO PORCARO MURATORI;JOS… MURATORI;MASCULINO;MDB;MDB;114;0,2;Suplente
Eleições Municipais 2020;MURIAÉ;JOS… GERALDO ROSA;BANOSO;MASCULINO;MDB;MDB;113;0,2;Suplente
Eleições Municipais 2020;MURIAÉ;SEBASTI√O DE PAULA OLIVEIRA;PAULINHO PADEIRO;MASCULINO;PDT;PDT;112;0,2;Suplente
Eleições Municipais 2020;MURIAÉ;HUMBERTO JOSE DA SILVA;HUMBERTO;MASCULINO;PSL;PSL;111;0,2;Suplente
Eleições Municipais 2020;MURIAÉ;ADELSON PAULO DE SOUSA;ADELSON SOUZA;MASCULINO;CIDADANIA;CIDADANIA;109;0,19;Suplente
Eleições Municipais 2020;MURIAÉ;JO√O CRISTIANO DE SOUZA;TIO JO√O;MASCULINO;CIDADANIA;CIDADANIA;109;0,19;Suplente
Eleições Municipais 2020;MURIAÉ;ADILSON JOAQUIM GON«ALVES;DILSINHO DO UNIFAMINAS;MASCULINO;PSD;PSD;109;0,19;Suplente
Eleições Municipais 2020;MURIAÉ;HELENICE BARBOSA DE MELO;SHIRLEYY MELO;FEMININO;PSD;PSD;107;0,19;Suplente
Eleições Municipais 2020;MURIAÉ;JOSIMAR BERNARDINO DE OLIVEIRA;JOSIMAR J‘;MASCULINO;PSB;PSB;107;0,19;Suplente
Eleições Municipais 2020;MURIAÉ;IRINEIA FLORIPES DO ESPIRITO SANTO;IRINEIA CHACARA LAGO DA PEDRA;FEMININO;PSL;PSL;106;0,19;Suplente
Eleições Municipais 2020;MURIAÉ;FABIANO ANT‘NIO DE OLIVEIRA E SILVA;SGT FABIANO;MASCULINO;PP;PP;106;0,19;Suplente
Eleições Municipais 2020;MURIAÉ;GILSILEI PASCOAL VAL…RIO;LEI VAL…RIO;MASCULINO;SOLIDARIEDADE;SOLIDARIEDADE;106;0,19;Suplente
