Eleicao;Município;Candidato - nome completo;Candidato - nome de urna;Gênero;Partido; Coligação;Votos;Percentual;Situação
Eleições Municipais 2020;MURIAÉ;ELIANE MARIA DE ARAUJO;ELIANE ARAUJO;FEMININO;PL;PL;32;0,06;Suplente
Eleições Municipais 2020;MURIAÉ;SEBASTI√O ANDREOSE;SEBASTI√O ANDREOSE;MASCULINO;PL;PL;32;0,06;Suplente
Eleições Municipais 2020;MURIAÉ;ROBSON HENRIQUES;ROBSON MARCHA LENTA;MASCULINO;DEM;DEM;31;0,05;Não eleito
Eleições Municipais 2020;MURIAÉ;NILO NARCISO DE SOUZA;NILO NARCISO DE SOUZA;MASCULINO;PP;PP;31;0,05;Suplente
Eleições Municipais 2020;MURIAÉ;EDUARDO HENRIQUE AMARAL GOMES;EDUARDO HENRIQUE;MASCULINO;PT;PT;30;0,05;Não eleito
Eleições Municipais 2020;MURIAÉ;CRISTIANO JOS… LOUREN«O;RONALDO FEN‘MENO;MASCULINO;MDB;MDB;30;0,05;Suplente
Eleições Municipais 2020;MURIAÉ;ROSEMEIRE WANDEKOKEM DOS SANTOS FALCI;ROSEMEIRE FALCI;FEMININO;PSB;PSB;30;0,05;Suplente
Eleições Municipais 2020;MURIAÉ;ALESSANDRO PEREIRA;ALESSANDRO DA FARM¡CIA;MASCULINO;PSB;PSB;30;0,05;Suplente
Eleições Municipais 2020;MURIAÉ;WANDERLEY DE SOUZA E SILVA;SOUZA;MASCULINO;CIDADANIA;CIDADANIA;29;0,05;Suplente
Eleições Municipais 2020;MURIAÉ;ANDR… DE SOUZA ALMEIDA;ANDR… ALMEIDA;MASCULINO;AVANTE;AVANTE;29;0,05;Não eleito
Eleições Municipais 2020;MURIAÉ;MARIA DA GL”RIA DOS REIS;MARIA DOS REIS;FEMININO;PTB;PTB;29;0,05;Suplente
Eleições Municipais 2020;MURIAÉ;EDSON GOMES DOS SANTOS;EDSON PERROTTI;MASCULINO;PDT;PDT;29;0,05;Suplente
Eleições Municipais 2020;MURIAÉ;RUDSON CARLOS PINTO;RUDSON PINTO A VOZ DO POVO;MASCULINO;PT;PT;29;0,05;Não eleito
Eleições Municipais 2020;MURIAÉ;CAIO CESAR DE SOUZA DANTES;CAIO DO PAGODE;MASCULINO;AVANTE;AVANTE;28;0,05;Não eleito
Eleições Municipais 2020;MURIAÉ;ADRIANA MARIA DE SOUZA;ADRIANA SOUZA DRIKA;FEMININO;SOLIDARIEDADE;SOLIDARIEDADE;28;0,05;Suplente
Eleições Municipais 2020;MURIAÉ;JOSE CASSIANO DA VEIGA;JOSE CASSIANO DA VEIGA;MASCULINO;PTB;PTB;28;0,05;Suplente
Eleições Municipais 2020;MURIAÉ;JANIO MARQUES DAHER;JANIO DAHER;MASCULINO;PSL;PSL;28;0,05;Suplente
Eleições Municipais 2020;MURIAÉ;MARCELO ANT‘NIO MAR«AL DE OLIVEIRA;MARCELO DA MERCEARIA;MASCULINO;MDB;MDB;27;0,05;Suplente
Eleições Municipais 2020;MURIAÉ;JESSICA PEIXOTO FERREIRA BITTENCOURT;JESSICA BITTENCOURT;FEMININO;AVANTE;AVANTE;27;0,05;Não eleito
Eleições Municipais 2020;MURIAÉ;CRISTIANE DE LOURDES SILVA;CRIS;FEMININO;AVANTE;AVANTE;26;0,05;Não eleito
Eleições Municipais 2020;MURIAÉ;ANDERSON FRANCISCO DE AZEVEDO;ANDERSON AZEVEDO;MASCULINO;PL;PL;26;0,05;Suplente
Eleições Municipais 2020;MURIAÉ;LEANDRO JORGE FILHO;LEANDRO POMPOM;MASCULINO;SOLIDARIEDADE;SOLIDARIEDADE;26;0,05;Suplente
Eleições Municipais 2020;MURIAÉ;RAFAEL ALVARES DE ALBUQUERQUE;RAFAEL DO SALGADINHO;MASCULINO;PV;PV;24;0,04;Não eleito
Eleições Municipais 2020;MURIAÉ;ELIANE FERREIRA NOVAES FERRARI;ELIANE NOVAIS;FEMININO;CIDADANIA;CIDADANIA;23;0,04;Suplente
Eleições Municipais 2020;MURIAÉ;ODILIA MARIA DA CONCEI«√O SILVA;ODILIA CONCEI«√O;FEMININO;PL;PL;22;0,04;Suplente
Eleições Municipais 2020;MURIAÉ;DANRUSSEL TRAMBAIOLI DA SILVA;DANRUSSEL TRAMBAIOLI;MASCULINO;PTB;PTB;22;0,04;Suplente
Eleições Municipais 2020;MURIAÉ;ELIANE FELICIANO;ELIANE DO SAFIRA;FEMININO;MDB;MDB;22;0,04;Suplente
Eleições Municipais 2020;MURIAÉ;CREDONICI KENEDY DA SILVA;CLEIDE KENNEDY;FEMININO;MDB;MDB;22;0,04;Suplente
Eleições Municipais 2020;MURIAÉ;ILMA MARCIA PEIXOTO;ILMA MARCIA;FEMININO;PV;PV;22;0,04;Não eleito
Eleições Municipais 2020;MURIAÉ;SANDRO GON«ALVES DE SOUZA;SANDRO TIN TIN;MASCULINO;MDB;MDB;21;0,04;Suplente
Eleições Municipais 2020;MURIAÉ;MARLIO COSTA JUNIOR;JOTA R;MASCULINO;PDT;PDT;21;0,04;Suplente
Eleições Municipais 2020;MURIAÉ;GILDA SILVA CATHARINO LESSA;GILDA LESSA;FEMININO;PSB;PSB;20;0,04;Suplente
Eleições Municipais 2020;MURIAÉ;PAULA CRISTINA DE SOUZA BANNI;PAULA BANNI;FEMININO;MDB;MDB;20;0,04;Suplente
Eleições Municipais 2020;MURIAÉ;CLAUDIA BERBERT FERREIRA;CLAUDIA BERBERT FERREIRA;FEMININO;PTB;PTB;20;0,04;Suplente
Eleições Municipais 2020;MURIAÉ;JEFERSON LEANDRO DO CARMO;CHORELY;MASCULINO;AVANTE;AVANTE;19;0,03;Não eleito
Eleições Municipais 2020;MURIAÉ;ADNEA APARECIDA BRAGA DE PAULA;ADNEA BRAGA;MASCULINO;PDT;PDT;18;0,03;Suplente
Eleições Municipais 2020;MURIAÉ;GERUSA MARY DA SILVA;G  MARY;FEMININO;AVANTE;AVANTE;18;0,03;Não eleito
Eleições Municipais 2020;MURIAÉ;CELIA SANTANA DE OLIVEIRA;CELIA CABELEIREIRA;FEMININO;PSB;PSB;17;0,03;Suplente
Eleições Municipais 2020;MURIAÉ;RAFAELA BRAZ DA SILVA;RAFAA BRAZ;FEMININO;MDB;MDB;17;0,03;Suplente
Eleições Municipais 2020;MURIAÉ;SONIA PURCINA COIMBRA;SONIA PURCINA;FEMININO;PP;PP;17;0,03;Suplente
Eleições Municipais 2020;MURIAÉ;ANT‘NIO JOS… BIZARRO;BIZARRO;MASCULINO;PL;PL;16;0,03;Suplente
Eleições Municipais 2020;MURIAÉ;ANTONIO EUGENIO MENDES;ANTONIO EUGENIO;MASCULINO;PT;PT;16;0,03;Não eleito
Eleições Municipais 2020;MURIAÉ;MARIANA SOARES BALDUINO;MARIANA BALDUINO;FEMININO;PL;PL;15;0,03;Suplente
Eleições Municipais 2020;MURIAÉ;LIDIANE XAVIER DA SILVA;LIDIANE DEMARQUE;FEMININO;CIDADANIA;CIDADANIA;15;0,03;Suplente
Eleições Municipais 2020;MURIAÉ;PAULO S…RGIO ORONDINO;SERGIO ORONDINO DA PASTORAL ;MASCULINO;PSB;PSB;15;0,03;Suplente
Eleições Municipais 2020;MURIAÉ;ROSANI DA SILVEIRA CANTONI;ROSANI CANTONI;FEMININO;PSB;PSB;14;0,02;Suplente
Eleições Municipais 2020;MURIAÉ;LUCIA HELENA DOS SANTOS;LUCIA HELENA;FEMININO;PL;PL;14;0,02;Suplente
Eleições Municipais 2020;MURIAÉ;NALMIR APARECIDA COUTO;NALMIR APARECIDA COUTO;FEMININO;DEM;DEM;13;0,02;Não eleito
Eleições Municipais 2020;MURIAÉ;SIMONE DAS GRA«AS ALMEIDA;SIMONE ALMEIDA;FEMININO;PT;PT;12;0,02;Não eleito
Eleições Municipais 2020;MURIAÉ;SILVANA SILVA CASADEI;SILVANA CASADEI;FEMININO;PP;PP;12;0,02;Suplente
Eleições Municipais 2020;MURIAÉ;NATALIA CONCEI«√O MORAIS DE JESUS;NATALIA MORAIS;FEMININO;PDT;PDT;12;0,02;Suplente
Eleições Municipais 2020;MURIAÉ;CUSTODIO FELICIANO DA SILVA;CUSTODIO;MASCULINO;PV;PV;12;0,02;Não eleito
Eleições Municipais 2020;MURIAÉ;JOSICARLA PEREIRA DIAS;JOSICARLA;FEMININO;PL;PL;11;0,02;Suplente
Eleições Municipais 2020;MURIAÉ;ANA CLAUDIA CONCEI«√O DA CUNHA;CLAUDIA CUNHA;FEMININO;PDT;PDT;11;0,02;Suplente
Eleições Municipais 2020;MURIAÉ;ERICA BEZERRA VIDAL MESSIAS;ERICA MESSIAS;FEMININO;PSB;PSB;10;0,02;Suplente
Eleições Municipais 2020;MURIAÉ;CELIA LEONCIO;CELINHA DO CARAMUJO;FEMININO;PV;PV;10;0,02;Não eleito
Eleições Municipais 2020;MURIAÉ;ANDRE LUIZ DA SILVA;PASTOR ANDRE;MASCULINO;MDB;MDB;10;0,02;Suplente
Eleições Municipais 2020;MURIAÉ;LUMMA FERNANDA DEMARQUE BOALENTO SILVA SOARES;LUMMA FERNANDA;FEMININO;SOLIDARIEDADE;SOLIDARIEDADE;10;0,02;Suplente
Eleições Municipais 2020;MURIAÉ;ISABELLA DE OLIVEIRA BERTO;ISABELLA OLIVEIRA;FEMININO;PDT;PDT;10;0,02;Suplente
Eleições Municipais 2020;MURIAÉ;EDMAR JOSE GON«ALVES;EDMAR JOSE;MASCULINO;PT;PT;9;0,02;Não eleito
Eleições Municipais 2020;MURIAÉ;ANA CL¡UDIA JANU¡RIO;ANA CL¡UDIA JANU¡RIO;FEMININO;PSL;PSL;9;0,02;Suplente
Eleições Municipais 2020;MURIAÉ;EDUARDA DA SILVA ARAUJO;EDUARDA ARAUJO;FEMININO;PDT;PDT;9;0,02;Suplente
Eleições Municipais 2020;MURIAÉ;APARECIDA PEREIRA AGOSTINI;APARECIDA AGOSTINI;FEMININO;CIDADANIA;CIDADANIA;8;0,01;Suplente
Eleições Municipais 2020;MURIAÉ;DORVALINO ANTUNES DE SIQUEIRA;DORVALINO PEDREIRO;MASCULINO;PT;PT;8;0,01;Não eleito
Eleições Municipais 2020;MURIAÉ;MARIA JOSE DO CARMO REIS;ZEZE DO CARMO;FEMININO;PT;PT;8;0,01;Não eleito
Eleições Municipais 2020;MURIAÉ;ROSE MARY ALMEIDA CORREIA;ROSE MARY CORREIA;FEMININO;PTB;PTB;7;0,01;Suplente
Eleições Municipais 2020;MURIAÉ;JANAINA APARECIDA MESSIAS BARBOSA;JANAINA MESSIAS;FEMININO;PT;PT;7;0,01;Não eleito
Eleições Municipais 2020;MURIAÉ;ANTONIO JOSE DA SILVA;ANTONIO JOSE;MASCULINO;PT;PT;6;0,01;Não eleito
Eleições Municipais 2020;MURIAÉ;MARIA CELESTE VITALINO DO NASCIMENTO;MARIA CELESTE;FEMININO;PP;PP;6;0,01;Suplente
Eleições Municipais 2020;MURIAÉ;POLIANA VIANA DE PAULA;POLIANA VIANA;FEMININO;PSL;PSL;6;0,01;Suplente
Eleições Municipais 2020;MURIAÉ;QUEZIA PEREIRA DE ARAUJO;QUEZIA ARAUJO;FEMININO;SOLIDARIEDADE;SOLIDARIEDADE;5;0,01;Suplente
Eleições Municipais 2020;MURIAÉ;ZULMIRA MARIA FRAGA FREITAS;ZULMIRA;FEMININO;PP;PP;5;0,01;Suplente
Eleições Municipais 2020;MURIAÉ;GRAZIELLE DA SILVA FREITAS MATTOS;GRAZIELLE DE BELIZ¡RIO;FEMININO;MDB;MDB;4;0,01;Suplente
Eleições Municipais 2020;MURIAÉ;MARIA APARECIDA SOARES VIANA;CIDINHA VIANA;FEMININO;MDB;MDB;2;0;Suplente
Eleições Municipais 2020;MURIAÉ;REGIANE MARIA DE OLIVEIRA ASSIS;REGIANE OLIVEIRA;FEMININO;MDB;MDB;1;0;Suplente
Eleições Municipais 2020;MURIAÉ;ALESSANDRA DE PAULA RIBEIRO;ALESSANDRA RIBEIRO;FEMININO;PSL;PSL;0;0;Suplente
